TimeSeconds,parsedDate,dateTimeStr,ipLayerProtocol,ipLayerProtocolCode,firstSeenSrcIp,firstSeenDestIp,firstSeenSrcPort,firstSeenDestPort,moreFragments,contFragments,durationSeconds,firstSeenSrcPayloadBytes,firstSeenDestPayloadBytes,firstSeenSrcTotalBytes,firstSeenDestTotalBytes,firstSeenSrcPacketCount,firstSeenDestPacketCount,recordForceOut
1364803501.8144979,2013-04-01 08:05:01,20130401080501.814498,6,TCP,172.30.1.166,10.0.0.12,9622,80,0,0,0,176,409,454,633,5,4,0
1364803501.7954521,2013-04-01 08:05:01,20130401080501.795452,6,TCP,172.30.1.189,10.0.0.9,9621,80,0,0,0,175,408,453,632,5,4,0
1364803501.800585,2013-04-01 08:05:01,20130401080501.800585,6,TCP,172.10.1.21,10.0.0.13,5064,80,0,0,0,176,409,454,633,5,4,0
1364803501.795054,2013-04-01 08:05:01,20130401080501.795054,6,TCP,172.10.1.10,10.0.0.14,5063,80,0,0,0,176,409,454,633,5,4,0
1364803501.7488239,2013-04-01 08:05:01,20130401080501.748824,6,TCP,172.10.1.53,10.0.0.6,5062,80,0,0,0,175,408,453,632,5,4,0
1364803501.75143,2013-04-01 08:05:01,20130401080501.751430,6,TCP,172.30.1.147,10.0.0.6,9617,80,0,0,0,175,408,453,632,5,4,0
1364803501.7514241,2013-04-01 08:05:01,20130401080501.751424,6,TCP,172.30.1.145,10.0.0.8,9616,80,0,0,0,175,408,453,632,5,4,0
1364803501.741287,2013-04-01 08:05:01,20130401080501.741287,6,TCP,172.10.1.29,10.0.0.9,5061,80,0,0,0,175,408,453,632,5,4,0
1364803501.7542651,2013-04-01 08:05:01,20130401080501.754265,6,TCP,172.30.2.51,10.1.0.75,8735,80,0,0,0,176,409,454,633,5,4,0
1364803501.6803401,2013-04-01 08:05:01,20130401080501.680340,6,TCP,172.10.1.59,10.1.0.76,5060,80,0,0,0,176,409,454,633,5,4,0
1364803501.712136,2013-04-01 08:05:01,20130401080501.712136,6,TCP,172.30.1.156,10.0.0.6,9613,80,0,0,0,175,408,453,632,5,4,0
1364803501.6774969,2013-04-01 08:05:01,20130401080501.677497,6,TCP,172.10.2.58,10.0.0.13,3517,80,0,0,0,152,409,430,633,5,4,0
1364803501.6557331,2013-04-01 08:05:01,20130401080501.655733,6,TCP,172.30.1.117,10.0.0.7,9612,80,0,0,0,175,408,453,632,5,4,0
1364803501.6486149,2013-04-01 08:05:01,20130401080501.648615,6,TCP,172.30.1.192,10.0.0.12,9610,80,0,0,0,176,409,454,633,5,4,0
1364803501.6361661,2013-04-01 08:05:01,20130401080501.636166,6,TCP,172.10.1.60,10.0.0.8,5059,80,0,0,0,175,408,453,632,5,4,0
1364803501.5829749,2013-04-01 08:05:01,20130401080501.582975,6,TCP,10.13.77.49,172.30.0.4,2626,80,0,0,0,197,5039,529,5371,6,6,0
1364803501.624984,2013-04-01 08:05:01,20130401080501.624984,6,TCP,172.10.1.44,10.1.0.75,5058,80,0,0,0,176,409,454,633,5,4,0
1364803501.607713,2013-04-01 08:05:01,20130401080501.607713,6,TCP,172.10.2.140,10.0.0.5,3514,80,0,0,0,151,408,429,632,5,4,0
1364803501.5601549,2013-04-01 08:05:01,20130401080501.560155,6,TCP,172.10.1.46,10.1.0.76,5057,80,0,0,0,176,409,454,633,5,4,0
1364803501.5874989,2013-04-01 08:05:01,20130401080501.587499,6,TCP,172.30.2.68,10.1.0.76,8725,80,0,0,0,176,409,454,633,5,4,0
1364803501.5397091,2013-04-01 08:05:01,20130401080501.539709,6,TCP,172.30.1.139,10.0.0.14,9605,80,0,0,0,176,409,454,633,5,4,0
1364803501.5147769,2013-04-01 08:05:01,20130401080501.514777,6,TCP,172.10.1.33,10.0.0.7,5056,80,0,0,0,175,408,453,632,5,4,0
1364803501.541033,2013-04-01 08:05:01,20130401080501.541033,6,TCP,172.30.1.73,10.0.0.5,9030,80,0,0,0,175,408,453,632,5,4,0
1364803501.499748,2013-04-01 08:05:01,20130401080501.499748,6,TCP,172.10.1.202,10.0.0.10,4777,80,0,0,0,176,409,454,633,5,4,0
1364803501.495105,2013-04-01 08:05:01,20130401080501.495105,6,TCP,172.10.1.244,10.0.0.10,4776,80,0,0,0,176,409,454,633,5,4,0
1364803501.4938109,2013-04-01 08:05:01,20130401080501.493811,6,TCP,172.10.2.146,10.0.0.12,3505,80,0,0,0,152,409,430,633,5,4,0
1364803501.4561839,2013-04-01 08:05:01,20130401080501.456184,6,TCP,172.10.1.26,10.0.0.9,5055,80,0,0,0,175,408,453,632,5,4,0
1364803501.414099,2013-04-01 08:05:01,20130401080501.414099,6,TCP,172.10.1.84,10.1.0.100,5054,80,0,0,0,177,410,455,634,5,4,0
1364803501.386739,2013-04-01 08:05:01,20130401080501.386739,6,TCP,172.30.1.222,10.0.0.13,6191,80,0,0,0,176,409,454,633,5,4,0
1364803501.4025669,2013-04-01 08:05:01,20130401080501.402567,6,TCP,172.10.1.247,10.0.0.12,4775,80,0,0,0,176,409,454,633,5,4,0
1364803501.374017,2013-04-01 08:05:01,20130401080501.374017,6,TCP,172.10.1.85,10.0.0.10,5053,80,0,0,0,176,409,454,633,5,4,0
1364803501.3298409,2013-04-01 08:05:01,20130401080501.329841,6,TCP,172.10.1.115,10.1.0.77,3227,80,0,0,0,176,409,454,633,5,4,0
1364803501.3394711,2013-04-01 08:05:01,20130401080501.339471,6,TCP,172.10.2.90,10.0.0.10,3498,80,0,0,0,152,409,430,633,5,4,0
1364803501.3300359,2013-04-01 08:05:01,20130401080501.330036,6,TCP,172.10.2.97,10.0.0.13,3497,80,0,0,0,152,409,430,633,5,4,0
1364803501.2559259,2013-04-01 08:05:01,20130401080501.255926,6,TCP,172.10.2.106,10.0.0.12,3496,80,0,0,0,152,409,430,633,5,4,0
1364803501.271389,2013-04-01 08:05:01,20130401080501.271389,6,TCP,172.30.1.33,10.0.0.10,9009,80,0,0,0,176,409,454,633,5,4,0
1364803501.255064,2013-04-01 08:05:01,20130401080501.255064,6,TCP,172.10.1.131,10.0.0.5,3224,80,0,0,0,175,408,453,632,5,4,0
1364803501.271642,2013-04-01 08:05:01,20130401080501.271642,6,TCP,172.30.1.23,10.0.0.8,9008,80,0,0,0,175,408,453,632,5,4,0
1364803501.210943,2013-04-01 08:05:01,20130401080501.210943,6,TCP,172.10.1.118,10.0.0.10,3222,80,0,0,0,176,409,454,633,5,4,0
1364803501.2034509,2013-04-01 08:05:01,20130401080501.203451,6,TCP,172.30.2.130,10.0.0.13,8714,80,0,0,0,176,409,454,633,5,4,0
1364803501.152699,2013-04-01 08:05:01,20130401080501.152699,6,TCP,172.30.1.134,10.0.0.5,9594,80,0,0,0,175,408,453,632,5,4,0
1364803501.1526921,2013-04-01 08:05:01,20130401080501.152692,6,TCP,172.30.1.83,10.0.0.12,9003,80,0,0,0,176,409,454,633,5,4,0
1364803501.182188,2013-04-01 08:05:01,20130401080501.182188,6,TCP,172.30.1.219,10.0.0.5,6184,80,0,0,0,175,408,453,632,5,4,0
1364803501.1358449,2013-04-01 08:05:01,20130401080501.135845,6,TCP,172.30.2.137,10.0.0.8,8712,80,0,0,0,175,408,453,632,5,4,0
1364803501.100728,2013-04-01 08:05:01,20130401080501.100728,6,TCP,172.30.1.215,10.0.0.13,6183,80,0,0,0,176,409,454,633,5,4,0
1364803501.1107221,2013-04-01 08:05:01,20130401080501.110722,6,TCP,172.30.1.12,10.0.0.7,8999,80,0,0,0,175,408,453,632,5,4,0
1364803501.1058171,2013-04-01 08:05:01,20130401080501.105817,6,TCP,172.30.1.41,10.0.0.8,8998,80,0,0,0,175,408,453,632,5,4,0
1364803501.1056199,2013-04-01 08:05:01,20130401080501.105620,6,TCP,172.30.1.31,10.0.0.9,8997,80,0,0,0,175,408,453,632,5,4,0
1364803501.0581999,2013-04-01 08:05:01,20130401080501.058200,6,TCP,172.30.2.53,10.0.0.14,8710,80,0,0,0,176,409,454,633,5,4,0
1364803501.0142739,2013-04-01 08:05:01,20130401080501.014274,6,TCP,172.30.1.79,10.0.0.6,8994,80,0,0,0,175,408,453,632,5,4,0
1364803501.053508,2013-04-01 08:05:01,20130401080501.053508,6,TCP,172.10.1.171,10.0.0.7,3215,80,0,0,0,175,408,453,632,5,4,0
1364803502.9805779,2013-04-01 08:05:02,20130401080502.980578,6,TCP,172.10.1.50,10.0.0.7,5070,80,0,0,0,175,408,453,632,5,4,0
1364803502.949779,2013-04-01 08:05:02,20130401080502.949779,6,TCP,172.10.1.34,10.1.0.75,5069,80,0,0,0,176,409,454,633,5,4,0
1364803502.950629,2013-04-01 08:05:02,20130401080502.950629,6,TCP,172.10.1.155,10.0.0.11,3262,80,0,0,0,176,409,454,633,5,4,0
1364803502.9076231,2013-04-01 08:05:02,20130401080502.907623,6,TCP,172.10.1.31,10.0.0.13,5068,80,0,0,0,176,409,454,633,5,4,0
1364803502.9356389,2013-04-01 08:05:02,20130401080502.935639,6,TCP,172.10.2.78,10.0.0.9,3535,80,0,0,0,151,408,429,632,5,4,0
1364803502.8868799,2013-04-01 08:05:02,20130401080502.886880,6,TCP,172.10.2.62,10.0.0.11,3532,80,0,0,0,152,409,430,633,5,4,0
1364803502.784162,2013-04-01 08:05:02,20130401080502.784162,6,TCP,172.10.1.178,10.0.0.13,3254,80,0,0,0,176,409,454,633,5,4,0
1364803502.7439981,2013-04-01 08:05:02,20130401080502.743998,6,TCP,172.10.1.139,10.0.0.14,3252,80,0,0,0,176,409,454,633,5,4,0
1364803502.7271631,2013-04-01 08:05:02,20130401080502.727163,6,TCP,172.10.2.51,10.0.0.13,3527,80,0,0,0,152,409,430,633,5,4,0
1364803502.667712,2013-04-01 08:05:02,20130401080502.667712,6,TCP,172.30.1.18,10.0.0.11,9075,80,0,0,0,176,409,454,633,5,4,0
1364803502.6453099,2013-04-01 08:05:02,20130401080502.645310,6,TCP,10.170.148.209,172.30.0.4,2638,80,0,0,0,198,7132,584,7572,7,8,0
1364803502.6277349,2013-04-01 08:05:02,20130401080502.627735,6,TCP,172.10.1.236,10.0.0.12,4783,80,0,0,0,176,409,454,633,5,4,0
1364803502.6617711,2013-04-01 08:05:02,20130401080502.661771,6,TCP,172.10.1.191,10.0.0.6,3251,80,0,0,0,175,408,453,632,5,4,0
1364803502.655381,2013-04-01 08:05:02,20130401080502.655381,6,TCP,172.10.1.190,10.0.0.10,3250,80,0,0,0,176,409,454,633,5,4,0
1364803502.6027141,2013-04-01 08:05:02,20130401080502.602714,6,TCP,10.76.193.22,172.20.0.15,2635,80,0,0,0,188,49560,1384,51620,22,38,0
1364803502.6195841,2013-04-01 08:05:02,20130401080502.619584,6,TCP,172.10.1.249,10.0.0.6,4782,80,0,0,0,175,408,453,632,5,4,0
1364803502.5556221,2013-04-01 08:05:02,20130401080502.555622,6,TCP,172.10.1.245,10.1.0.77,4781,80,0,0,0,176,409,454,633,5,4,0
1364803502.520592,2013-04-01 08:05:02,20130401080502.520592,6,TCP,172.10.1.218,10.0.0.8,4780,80,0,0,0,175,408,453,632,5,4,0
1364803502.4829819,2013-04-01 08:05:02,20130401080502.482982,6,TCP,172.30.1.56,10.0.0.14,9065,80,0,0,0,176,409,454,633,5,4,0
1364803502.5137899,2013-04-01 08:05:02,20130401080502.513790,6,TCP,172.10.1.110,10.1.0.100,3245,80,0,0,0,177,410,455,634,5,4,0
1364803502.465605,2013-04-01 08:05:02,20130401080502.465605,6,TCP,172.10.1.246,10.1.0.75,4779,80,0,0,0,176,409,454,633,5,4,0
1364803502.401468,2013-04-01 08:05:02,20130401080502.401468,6,TCP,172.30.1.3,10.0.0.11,9059,80,0,0,0,176,409,454,633,5,4,0
1364803502.38061,2013-04-01 08:05:02,20130401080502.380610,6,TCP,172.30.1.176,10.0.0.5,9660,80,0,0,0,175,408,453,632,5,4,0
1364803502.3950231,2013-04-01 08:05:02,20130401080502.395023,6,TCP,172.10.1.211,10.0.0.11,4778,80,0,0,0,176,409,454,633,5,4,0
1364803502.360532,2013-04-01 08:05:02,20130401080502.360532,6,TCP,172.30.2.58,10.0.0.7,8774,80,0,0,0,175,408,453,632,5,4,0
1364803502.3442111,2013-04-01 08:05:02,20130401080502.344211,6,TCP,172.30.1.74,10.0.0.14,9044,80,0,0,0,176,409,454,633,5,4,0
1364803502.3269911,2013-04-01 08:05:02,20130401080502.326991,6,TCP,172.30.2.99,10.0.0.6,8773,80,0,0,0,175,408,453,632,5,4,0
1364803502.358835,2013-04-01 08:05:02,20130401080502.358835,6,TCP,172.30.1.70,10.0.0.5,9055,80,0,0,0,175,408,453,632,5,4,0
1364803502.3550971,2013-04-01 08:05:02,20130401080502.355097,6,TCP,172.30.1.82,10.0.0.7,9054,80,0,0,0,175,408,453,632,5,4,0
1364803502.279021,2013-04-01 08:05:02,20130401080502.279021,6,TCP,172.30.2.52,10.0.0.10,8771,80,0,0,0,176,409,454,633,5,4,0
1364803502.2769251,2013-04-01 08:05:02,20130401080502.276925,6,TCP,172.30.2.117,10.0.0.9,8770,80,0,0,0,175,408,453,632,5,4,0
1364803502.2689381,2013-04-01 08:05:02,20130401080502.268938,6,TCP,172.30.2.78,10.0.0.12,8769,80,0,0,0,176,409,454,633,5,4,0
1364803502.228209,2013-04-01 08:05:02,20130401080502.228209,6,TCP,172.30.2.129,10.1.0.75,8768,80,0,0,0,176,409,454,633,5,4,0
1364803502.173553,2013-04-01 08:05:02,20130401080502.173553,6,TCP,172.30.2.146,10.0.0.12,8767,80,0,0,0,176,409,454,633,5,4,0
1364803502.1626699,2013-04-01 08:05:02,20130401080502.162670,6,TCP,172.30.1.148,10.0.0.14,9647,80,0,0,0,176,409,454,633,5,4,0
1364803502.1154029,2013-04-01 08:05:02,20130401080502.115403,6,TCP,172.30.2.85,10.0.0.13,8753,80,0,0,0,176,409,454,633,5,4,0
1364803502.063189,2013-04-01 08:05:02,20130401080502.063189,6,TCP,172.30.1.237,10.0.0.14,6192,80,0,0,0,176,409,454,633,5,4,0
1364803502.048466,2013-04-01 08:05:02,20130401080502.048466,6,TCP,172.30.1.126,10.0.0.14,9641,80,0,0,0,176,409,454,633,5,4,0
1364803503.9826231,2013-04-01 08:05:03,20130401080503.982623,6,TCP,172.10.2.125,10.0.0.9,3591,80,0,0,0,151,408,429,632,5,4,0
1364803503.9792321,2013-04-01 08:05:03,20130401080503.979232,6,TCP,172.10.1.196,10.0.0.12,3296,80,0,0,0,176,409,454,633,5,4,0
1364803503.91329,2013-04-01 08:05:03,20130401080503.913290,6,TCP,172.10.1.149,10.0.0.14,3295,80,0,0,0,176,409,454,633,5,4,0
1364803503.9083519,2013-04-01 08:05:03,20130401080503.908352,6,TCP,172.10.2.132,10.0.0.9,3590,80,0,0,0,151,408,429,632,5,4,0
1364803503.9221311,2013-04-01 08:05:03,20130401080503.922131,6,TCP,172.30.2.135,10.0.0.11,8808,80,0,0,0,176,409,454,633,5,4,0
1364803503.8703749,2013-04-01 08:05:03,20130401080503.870375,6,TCP,10.138.214.18,172.20.0.15,2645,80,0,0,0,192,25596,1064,26738,16,21,0
1364803503.8507979,2013-04-01 08:05:03,20130401080503.850798,6,TCP,172.10.2.55,10.0.0.8,3589,80,0,0,0,151,408,429,632,5,4,0
1364803503.8471279,2013-04-01 08:05:03,20130401080503.847128,6,TCP,10.156.165.212,172.30.0.4,2643,80,0,0,0,195,43145,1391,44989,22,34,0
1364803503.849376,2013-04-01 08:05:03,20130401080503.849376,6,TCP,172.10.1.126,10.1.0.75,3293,80,0,0,0,176,409,454,633,5,4,0
1364803503.728456,2013-04-01 08:05:03,20130401080503.728456,6,TCP,172.30.2.138,10.1.0.75,8802,80,0,0,0,176,409,454,633,5,4,0
1364803503.611654,2013-04-01 08:05:03,20130401080503.611654,6,TCP,172.10.1.78,10.1.0.100,5085,80,0,0,0,177,410,455,634,5,4,0
1364803503.5823629,2013-04-01 08:05:03,20130401080503.582363,6,TCP,10.13.77.49,172.30.0.4,2640,80,0,0,0,197,5052,529,5384,6,6,0
1364803503.585948,2013-04-01 08:05:03,20130401080503.585948,6,TCP,172.10.1.97,10.0.0.12,5084,80,0,0,0,176,409,454,633,5,4,0
1364803503.532841,2013-04-01 08:05:03,20130401080503.532841,6,TCP,172.10.1.18,10.0.0.14,5083,80,0,0,0,176,409,454,633,5,4,0
1364803503.561394,2013-04-01 08:05:03,20130401080503.561394,6,TCP,172.30.2.112,10.0.0.10,8796,80,0,0,0,176,409,454,633,5,4,0
1364803503.543426,2013-04-01 08:05:03,20130401080503.543426,6,TCP,172.10.1.123,10.0.0.10,3283,80,0,0,0,176,409,454,633,5,4,0
1364803503.488317,2013-04-01 08:05:03,20130401080503.488317,6,TCP,172.10.1.12,10.0.0.6,5082,80,0,0,0,175,408,453,632,5,4,0
1364803503.51542,2013-04-01 08:05:03,20130401080503.515420,6,TCP,172.30.2.63,10.0.0.6,8794,80,0,0,0,175,408,453,632,5,4,0
1364803503.4894159,2013-04-01 08:05:03,20130401080503.489416,6,TCP,172.30.1.27,10.0.0.7,9097,80,0,0,0,175,408,453,632,5,4,0
1364803503.436758,2013-04-01 08:05:03,20130401080503.436758,6,TCP,172.10.1.25,10.0.0.5,5081,80,0,0,0,175,408,453,632,5,4,0
1364803503.4099469,2013-04-01 08:05:03,20130401080503.409947,6,TCP,172.30.1.8,10.0.0.5,9092,80,0,0,0,175,408,453,632,5,4,0
1364803503.429436,2013-04-01 08:05:03,20130401080503.429436,6,TCP,172.10.1.5,10.0.0.5,5080,80,0,0,0,175,408,453,632,5,4,0
1364803503.421385,2013-04-01 08:05:03,20130401080503.421385,6,TCP,172.30.2.72,10.0.0.11,8791,80,0,0,0,176,409,454,633,5,4,0
1364803503.3283911,2013-04-01 08:05:03,20130401080503.328391,6,TCP,172.30.1.48,10.0.0.10,9077,80,0,0,0,176,409,454,633,5,4,0
1364803503.3484139,2013-04-01 08:05:03,20130401080503.348414,6,TCP,172.10.1.87,10.0.0.11,5079,80,0,0,0,176,409,454,633,5,4,0
1364803503.3329771,2013-04-01 08:05:03,20130401080503.332977,6,TCP,172.10.1.104,10.0.0.7,3277,80,0,0,0,175,408,453,632,5,4,0
1364803503.2905509,2013-04-01 08:05:03,20130401080503.290551,6,TCP,172.30.1.158,10.0.0.12,9679,80,0,0,0,176,409,454,633,5,4,0
1364803503.3335769,2013-04-01 08:05:03,20130401080503.333577,6,TCP,172.30.1.20,10.0.0.14,9085,80,0,0,0,176,409,454,633,5,4,0
1364803503.3301821,2013-04-01 08:05:03,20130401080503.330182,6,TCP,172.30.1.26,10.0.0.6,9084,80,0,0,0,175,408,453,632,5,4,0
1364803503.270628,2013-04-01 08:05:03,20130401080503.270628,6,TCP,172.30.2.57,10.0.0.8,8787,80,0,0,0,175,408,453,632,5,4,0
1364803503.2955,2013-04-01 08:05:03,20130401080503.295500,6,TCP,172.10.1.64,10.0.0.12,5078,80,0,0,0,176,409,454,633,5,4,0
1364803503.2511661,2013-04-01 08:05:03,20130401080503.251166,6,TCP,172.30.2.62,10.0.0.11,8786,80,0,0,0,176,409,454,633,5,4,0
1364803503.28896,2013-04-01 08:05:03,20130401080503.288960,6,TCP,172.10.1.8,10.0.0.14,5077,80,0,0,0,176,409,454,633,5,4,0
1364803503.2341001,2013-04-01 08:05:03,20130401080503.234100,6,TCP,172.30.1.235,10.0.0.9,6205,80,0,0,0,175,408,453,632,5,4,0
1364803503.204247,2013-04-01 08:05:03,20130401080503.204247,6,TCP,172.30.2.143,10.0.0.14,8783,80,0,0,0,176,409,454,633,5,4,0
1364803503.2198229,2013-04-01 08:05:03,20130401080503.219823,6,TCP,172.10.1.61,10.1.0.100,5076,80,0,0,0,177,410,455,634,5,4,0
1364803503.2120841,2013-04-01 08:05:03,20130401080503.212084,6,TCP,172.10.1.100,10.1.0.100,5075,80,0,0,0,177,410,455,634,5,4,0
1364803503.167963,2013-04-01 08:05:03,20130401080503.167963,6,TCP,172.30.1.234,10.0.0.10,6204,80,0,0,0,176,409,454,633,5,4,0
1364803503.1473451,2013-04-01 08:05:03,20130401080503.147345,6,TCP,172.10.1.98,10.0.0.5,5074,80,0,0,0,175,408,453,632,5,4,0
1364803503.1349649,2013-04-01 08:05:03,20130401080503.134965,6,TCP,172.10.1.1,10.0.0.11,5073,80,0,0,0,176,409,454,633,5,4,0
1364803503.14395,2013-04-01 08:05:03,20130401080503.143950,6,TCP,172.10.2.53,10.0.0.6,3546,80,0,0,0,151,408,429,632,5,4,0
1364803503.0749669,2013-04-01 08:05:03,20130401080503.074967,6,TCP,172.10.1.11,10.1.0.100,5072,80,0,0,0,177,410,455,634,5,4,0
1364803503.0844519,2013-04-01 08:05:03,20130401080503.084452,6,TCP,172.10.1.119,10.0.0.8,3268,80,0,0,0,175,408,453,632,5,4,0
1364803503.0682819,2013-04-01 08:05:03,20130401080503.068282,6,TCP,172.10.2.81,10.0.0.11,3541,80,0,0,0,152,409,430,633,5,4,0
1364803503.007735,2013-04-01 08:05:03,20130401080503.007735,6,TCP,172.10.1.88,10.0.0.5,5071,80,0,0,0,175,408,453,632,5,4,0
1364803503.007731,2013-04-01 08:05:03,20130401080503.007731,6,TCP,172.10.2.70,10.0.0.14,3538,80,0,0,0,152,409,430,633,5,4,0
1364803503.0671329,2013-04-01 08:05:03,20130401080503.067133,6,TCP,172.10.1.140,10.0.0.10,3266,80,0,0,0,176,409,454,633,5,4,0
1364803504.9976959,2013-04-01 08:05:04,20130401080504.997696,6,TCP,172.10.2.68,10.0.0.14,3638,80,0,0,0,152,409,430,633,5,4,0
1364803504.9784131,2013-04-01 08:05:04,20130401080504.978413,6,TCP,172.30.1.121,10.0.0.12,9725,80,0,0,0,176,409,454,633,5,4,0
1364803504.936151,2013-04-01 08:05:04,20130401080504.936151,6,TCP,172.30.1.191,10.0.0.14,9721,80,0,0,0,176,409,454,633,5,4,0
1364803504.9354551,2013-04-01 08:05:04,20130401080504.935455,6,TCP,172.30.1.179,10.0.0.9,9718,80,0,0,0,175,408,453,632,5,4,0
1364803504.958113,2013-04-01 08:05:04,20130401080504.958113,6,TCP,172.30.1.61,10.0.0.12,9133,80,0,0,0,176,409,454,633,5,4,0
1364803504.9551661,2013-04-01 08:05:04,20130401080504.955166,6,TCP,172.30.1.51,10.0.0.14,9132,80,0,0,0,176,409,454,633,5,4,0
1364803504.948029,2013-04-01 08:05:04,20130401080504.948029,6,TCP,172.30.1.11,10.0.0.12,9130,80,0,0,0,176,409,454,633,5,4,0
1364803504.9402461,2013-04-01 08:05:04,20130401080504.940246,6,TCP,172.30.1.5,10.0.0.8,9128,80,0,0,0,175,408,453,632,5,4,0
1364803504.9414411,2013-04-01 08:05:04,20130401080504.941441,6,TCP,172.30.1.30,10.0.0.11,9126,80,0,0,0,176,409,454,633,5,4,0
1364803504.894249,2013-04-01 08:05:04,20130401080504.894249,6,TCP,172.30.1.213,10.0.0.8,6218,80,0,0,0,175,408,453,632,5,4,0
1364803504.8588009,2013-04-01 08:05:04,20130401080504.858801,6,TCP,172.30.1.245,10.0.0.14,6214,80,0,0,0,176,409,454,633,5,4,0
1364803504.8157599,2013-04-01 08:05:04,20130401080504.815760,6,TCP,172.10.1.24,10.0.0.13,5095,80,0,0,0,176,409,454,633,5,4,0
1364803504.772197,2013-04-01 08:05:04,20130401080504.772197,6,TCP,172.10.1.90,10.0.0.13,5094,80,0,0,0,176,409,454,633,5,4,0
1364803504.782207,2013-04-01 08:05:04,20130401080504.782207,6,TCP,172.30.1.100,10.0.0.9,9123,80,0,0,0,175,408,453,632,5,4,0
1364803504.778372,2013-04-01 08:05:04,20130401080504.778372,6,TCP,172.30.1.19,10.0.0.8,9121,80,0,0,0,175,408,453,632,5,4,0
1364803504.779809,2013-04-01 08:05:04,20130401080504.779809,6,TCP,172.30.1.46,10.0.0.10,9120,80,0,0,0,176,409,454,633,5,4,0
1364803504.760004,2013-04-01 08:05:04,20130401080504.760004,6,TCP,172.30.1.151,10.0.0.7,9706,80,0,0,0,175,408,453,632,5,4,0
1364803504.70649,2013-04-01 08:05:04,20130401080504.706490,6,TCP,172.10.1.19,10.0.0.7,5093,80,0,0,0,175,408,453,632,5,4,0
1364803504.673321,2013-04-01 08:05:04,20130401080504.673321,6,TCP,172.30.1.63,10.0.0.11,9114,80,0,0,0,176,409,454,633,5,4,0
1364803504.6938541,2013-04-01 08:05:04,20130401080504.693854,6,TCP,172.10.1.3,10.1.0.76,5092,80,0,0,0,176,409,454,633,5,4,0
1364803504.724484,2013-04-01 08:05:04,20130401080504.724484,6,TCP,172.30.2.109,10.1.0.76,8833,80,0,0,0,176,409,454,633,5,4,0
1364803504.6385069,2013-04-01 08:05:04,20130401080504.638507,6,TCP,172.30.1.32,10.0.0.9,9099,80,0,0,1,175,408,453,632,5,4,0
1364803504.6043229,2013-04-01 08:05:04,20130401080504.604323,6,TCP,10.76.193.22,172.20.0.15,2647,80,0,0,0,188,49560,1384,51620,22,38,0
1364803504.6292739,2013-04-01 08:05:04,20130401080504.629274,6,TCP,172.10.1.41,10.1.0.100,5091,80,0,0,0,177,410,455,634,5,4,0
1364803504.6296721,2013-04-01 08:05:04,20130401080504.629672,6,TCP,172.30.2.54,10.0.0.12,8828,80,0,0,0,176,409,454,633,5,4,0
